"FACILITY_LOCATION_LABEL","FACILITY_TYPE_LABEL","YEAR_OF_DIAGNOSIS","total_n","yes_surgery","percent_yes"
"East North Central","Academic/Research Program",2004,510,205,40.2
"East North Central","Academic/Research Program",2005,579,251,43.4
"East North Central","Academic/Research Program",2006,625,243,38.9
"East North Central","Academic/Research Program",2007,634,252,39.7
"East North Central","Academic/Research Program",2008,713,267,37.4
"East North Central","Academic/Research Program",2009,657,273,41.6
"East North Central","Academic/Research Program",2010,731,280,38.3
"East North Central","Academic/Research Program",2011,855,310,36.3
"East North Central","Academic/Research Program",2012,911,331,36.3
"East North Central","Academic/Research Program",2013,944,344,36.4
"East North Central","Academic/Research Program",2014,929,306,32.9
"East North Central","Academic/Research Program",2015,964,323,33.5
"East North Central","Academic/Research Program",2016,1036,340,32.8
"East North Central","Academic/Research Program",2017,1107,396,35.8
"East North Central","Academic/Research Program",2018,1149,385,33.5
"East North Central","Academic/Research Program",2019,1239,438,35.4
"East North Central","Academic/Research Program",2020,1164,364,31.3
"East North Central","Academic/Research Program",2021,1194,358,30
"East North Central","Academic/Research Program",2022,1147,343,29.9
"East North Central","Community Cancer Program",2004,121,52,43
"East North Central","Community Cancer Program",2005,125,37,29.6
"East North Central","Community Cancer Program",2006,124,47,37.9
"East North Central","Community Cancer Program",2007,143,62,43.4
"East North Central","Community Cancer Program",2008,152,51,33.6
"East North Central","Community Cancer Program",2009,139,56,40.3
"East North Central","Community Cancer Program",2010,156,55,35.3
"East North Central","Community Cancer Program",2011,157,45,28.7
"East North Central","Community Cancer Program",2012,177,68,38.4
"East North Central","Community Cancer Program",2013,191,70,36.6
"East North Central","Community Cancer Program",2014,189,69,36.5
"East North Central","Community Cancer Program",2015,205,72,35.1
"East North Central","Community Cancer Program",2016,238,70,29.4
"East North Central","Community Cancer Program",2017,257,81,31.5
"East North Central","Community Cancer Program",2018,293,75,25.6
"East North Central","Community Cancer Program",2019,255,59,23.1
"East North Central","Community Cancer Program",2020,241,59,24.5
"East North Central","Community Cancer Program",2021,287,57,19.9
"East North Central","Community Cancer Program",2022,270,55,20.4
"East North Central","Comprehensive Community Cancer Program",2004,284,111,39.1
"East North Central","Comprehensive Community Cancer Program",2005,343,144,42
"East North Central","Comprehensive Community Cancer Program",2006,377,141,37.4
"East North Central","Comprehensive Community Cancer Program",2007,395,146,37
"East North Central","Comprehensive Community Cancer Program",2008,388,161,41.5
"East North Central","Comprehensive Community Cancer Program",2009,452,183,40.5
"East North Central","Comprehensive Community Cancer Program",2010,475,168,35.4
"East North Central","Comprehensive Community Cancer Program",2011,470,160,34
"East North Central","Comprehensive Community Cancer Program",2012,493,171,34.7
"East North Central","Comprehensive Community Cancer Program",2013,553,195,35.3
"East North Central","Comprehensive Community Cancer Program",2014,561,188,33.5
"East North Central","Comprehensive Community Cancer Program",2015,596,196,32.9
"East North Central","Comprehensive Community Cancer Program",2016,620,197,31.8
"East North Central","Comprehensive Community Cancer Program",2017,597,197,33
"East North Central","Comprehensive Community Cancer Program",2018,635,164,25.8
"East North Central","Comprehensive Community Cancer Program",2019,672,145,21.6
"East North Central","Comprehensive Community Cancer Program",2020,661,180,27.2
"East North Central","Comprehensive Community Cancer Program",2021,707,191,27
"East North Central","Comprehensive Community Cancer Program",2022,630,118,18.7
"East North Central","Integrated Network Cancer Program",2004,351,148,42.2
"East North Central","Integrated Network Cancer Program",2005,343,118,34.4
"East North Central","Integrated Network Cancer Program",2006,334,124,37.1
