YEAR_OF_DIAGNOSIS,n_no,n_yes,n_total,pct_surgery_yes
2004,4491,2822,7313,38.6
2005,4931,2898,7829,37
2006,5277,2973,8250,36
2007,5729,3189,8918,35.8
2008,6267,3338,9605,34.8
2009,6762,3506,10268,34.1
2010,6789,3806,10595,35.9
2011,7272,4147,11419,36.3
2012,7631,4327,11958,36.2
2013,8110,4700,12810,36.7
2014,8788,4731,13519,35
2015,9331,4820,14151,34.1
2016,10006,4987,14993,33.3
2017,10440,5168,15608,33.1
2018,11011,5313,16324,32.5
2019,11676,5543,17219,32.2
2020,11663,4885,16548,29.5
2021,12250,4892,17142,28.5
2022,11321,4301,15622,27.5
